date,mir,blue,nir,red,evi,ndvi
2015-09-14,0.1730252110514431,0.03774239172130268,0.2606665155515582,0.07739066617825621,0.3210740421633871,0.5425203930902326
2015-09-22,0.17195406413794967,0.03915698311181836,0.2685809700726744,0.07835991000413925,0.3319952559856766,0.5514635696525839
2015-09-30,0.17061103334965388,0.04062626096203241,0.27646159896724004,0.07930809455369134,0.3429948257480173,0.5605645556242084
2015-10-08,0.16872655573042794,0.04219324981092722,0.28425087549527106,0.08020312732293186,0.35413130251594643,0.569975160888747
2015-10-16,0.16612361568010214,0.04383024575501085,0.29179117364432733,0.08096790972174275,0.36534750209101785,0.5797717580489126
2015-10-24,0.16269456514084377,0.045471258355967645,0.29888489557180153,0.08150704369818866,0.37652791975364025,0.5899822654560063
2015-11-01,0.1585247367659139,0.04697205448509318,0.30529071744509606,0.08170388809250337,0.3874495379008145,0.6005154385310666
2015-11-09,0.15377979098130123,0.04816740727439125,0.310776716721543,0.08144562749648815,0.39786563184088064,0.6112351570493695
2015-11-17,0.14872605211490594,0.048906031746056636,0.3152185294872718,0.0806682852305077,0.4075726694870524,0.6219652518094847
2015-11-25,0.143649609378167,0.049065449326820595,0.3185633836460529,0.07934510607606662,0.4164082306496505,0.6325198850024554
2015-12-03,0.1387851740075578,0.04863890108674353,0.32094082768650267,0.0775545557348781,0.42434085550931216,0.6427245357141473
2015-12-11,0.13432740576572194,0.047681208638630276,0.3225509506536031,0.0754251738299602,0.4313860229645438,0.6524005411047172
2015-12-19,0.13035659650515002,0.04637069892340309,0.32366340847144387,0.07316996723410156,0.43759126875204446,0.6613328739170579
2015-12-27,0.12690464953914293,0.04492736186168716,0.3245413302640499,0.07102436121998414,0.44298787583326904,0.6692825616169509
2016-01-04,0.12394002804924042,0.04358886241166668,0.3253151939667332,0.06920679848181863,0.4474835743137828,0.6759510221670952
2016-01-12,0.12141010130522241,0.0425493058679681,0.32596547839097667,0.06787286682710636,0.4508837915545919,0.6810472097653935
2016-01-20,0.11925956764278334,0.04192103064296524,0.3262927034479784,0.06708217667496108,0.45288942698098605,0.684325455727692
2016-01-28,0.11744240696256082,0.04172530418511746,0.3260317850806916,0.06680425373117749,0.45323550906620447,0.6856944431813315
2016-02-05,0.11592794614989685,0.041846574399823526,0.32484045051299876,0.06687577838455772,0.4517326349399708,0.6853118429998343
2016-02-13,0.1146788535141675,0.0421088867021722,0.322440049109112,0.06707990883294768,0.4483510702440134,0.6835443655999941
2016-02-21,0.11364410790124618,0.04225985831347469,0.3186707766146458,0.06713410482655087,0.44331256090657295,0.6810616050755124
2016-02-29,0.11275534496345459,0.04206901076082469,0.3135136282669886,0.06678518555715561,0.43698482034994013,0.6785947961045631
2016-03-08,0.11191821089381046,0.04135541881305995,0.3071623118097339,0.06584014585093277,0.42993339483110415,0.676923633390467
2016-03-16,0.11104439516684839,0.040024470268298404,0.29990474543590273,0.06420017046873548,0.4227037821052507,0.6766255813690896
2016-03-24,0.11006048243560124,0.03811610343528612,0.2921484048628566,0.06191235176577515,0.41577383515455013,0.677933666520054
2016-04-01,0.10893680791956595,0.03575071910665331,0.2842801171470629,0.05911306028071059,0.40944427607082956,0.6807433709045329
2016-04-09,0.10771378691796242,0.03315894681952403,0.27663235102194944,0.05606162694286817,0.40373435479904834,0.6844502406546452
2016-04-17,0.10648386015737006,0.030585435472649605,0.2694485072627337,0.05303822420113981,0.39850043655149336,0.6882587046730497
2016-04-25,0.10541356877662242,0.028279196174783586,0.26283418337992914,0.050336516737043244,0.3933779392085337,0.691142998206772
2016-05-03,0.1046859935928899,0.026435637903060732,0.25683476295878566,0.0481971212056622,0.3880074641690315,0.6921958335979996
2016-05-11,0.10449883608315141,0.025160697159723404,0.25141950855721407,0.046770514715414074,0.38207608243901003,0.6907457982722294
2016-05-19,0.10501860998651152,0.02449152426127434,0.24656919204646674,0.04613202218006321,0.3754208169310879,0.6864304141687178
2016-05-27,0.1063576406665929,0.024366659833595566,0.24229619257028323,0.046247894391370906,0.3681184803135134,0.6793581776961487
2016-06-04,0.10857750283002593,0.024695019585322976,0.23865348042863443,0.047045400939115,0.3603769521321101,0.6698617219856993
2016-06-12,0.11166487949071749,0.025353177797291702,0.23575523607784998,0.04840570636685616,0.3525796381773046,0.6585643810745311
2016-06-20,0.11557127482753647,0.026236595636069775,0.23371969715485602,0.05022095869692364,0.3450997692101112,0.6460757495122167
2016-06-28,0.12020245616078379,0.0272772640650532,0.23266101028788994,0.052409015760074056,0.3382638662914396,0.6329339706501879
2016-07-06,0.12545438844432574,0.02843906311782664,0.2326450488246496,0.05491457106917877,0.3322824528405641,0.6195216304930667
2016-07-14,0.1312143105650785,0.02973219392460348,0.23365837470507184,0.05772204344834635,0.3271824279847293,0.6059771270713047
2016-07-22,0.13737302774741306,0.0311734373567488,0.23562676194999765,0.060819714861953394,0.322895369293491,0.5923396907564713
2016-07-30,0.1438286649562781,0.03278254978899412,0.23838887174143547,0.0641954537572264,0.31922641044975747,0.5785261351647004
2016-08-07,0.1504876887380759,0.0345593267847064,0.2417574506874674,0.06781758950859211,0.31597560641750433,0.5644796704934313
2016-08-15,0.1572693521988186,0.03647033095967021,0.24551734337504683,0.07162255458586206,0.3129556681789383,0.5502067327957032
2016-08-23,0.16411010963225026,0.03847177035892044,0.24948415532830887,0.07554214711388682,0.3100284143400543,0.5357560459584966
