date,mir,blue,nir,red,evi,ndvi
2015-08-29,0.2735236483084057,0.05639014052471263,0.29604342200768263,0.1646929078191135,0.18310394183559475,0.29310474229849093
2015-09-06,0.28262967159658825,0.056608753539870334,0.28942838517603964,0.15957650440452187,0.1795791615009424,0.289918668874306
2015-09-14,0.29094571644023703,0.05649555574004139,0.281846397247991,0.15484371386793155,0.17480143829133904,0.2866124552943123
2015-09-22,0.2975205469574395,0.05573642103138438,0.2726817956272337,0.15077590823306314,0.16817492343812473,0.2836071755822302
2015-09-30,0.30088990478237365,0.05419933429743339,0.26324460228696067,0.147063328410155,0.1625390063460346,0.2838801069775159
2015-10-08,0.29947526773429356,0.051878672751977585,0.2557792479239479,0.14312764849672371,0.16230073352327654,0.2914601847330206
2015-10-16,0.29190226674785824,0.04910162904888683,0.2541488135755081,0.13798126159487295,0.1742844627558268,0.31163231621920606
2015-10-24,0.27714341102775797,0.04633301424365767,0.26242035279016207,0.13064672026394436,0.20535200428796785,0.34934726801892135
2015-11-01,0.2555158690802326,0.04420663689868266,0.2832830964008524,0.12078631177116314,0.2590448687814893,0.40615889315326076
2015-11-09,0.22810505184712734,0.04336557725277614,0.31816840028964744,0.108515965124543,0.33630637760629956,0.4812762546056717
2015-11-17,0.1976808385173236,0.044252750193087456,0.3645630943313336,0.09516612013844777,0.4306183801566687,0.5677518717788571
2015-11-25,0.16762382169172557,0.047145253548286636,0.41810146347683214,0.08251975797434233,0.5322150206512717,0.6561396196926902
2015-12-03,0.14176475903301508,0.05182648667619364,0.4713717053979476,0.07273996824170342,0.6267810536028149,0.7340942919825874
2015-12-11,0.12374662383909395,0.057837960104533494,0.516245187507782,0.06786443579623291,0.6993838415827822,0.7892704036486423
2015-12-19,0.1156774422999326,0.0642920385371914,0.545604575692131,0.06879162950451645,0.7387386297128659,0.8135015887330183
2015-12-27,0.11867426367118494,0.07017236296217254,0.5536253348301244,0.07571706402073346,0.7366786350810165,0.8016624625592101
2016-01-04,0.1313796012085246,0.07447763142633639,0.5391594952709827,0.0871591566047357,0.6945442646037941,0.7569919902971272
2016-01-12,0.1507783510469768,0.07643722932419093,0.5050386219248133,0.10068964068268144,0.6208981281615015,0.6886299090358838
2016-01-20,0.17238656836495714,0.07565704724545788,0.458278345926067,0.1131812845017596,0.531362364343309,0.6111729586061826
2016-01-28,0.19185130287867988,0.07210894339507738,0.4069328271239512,0.1219607397141028,0.44223317574854354,0.5391165308356789
2016-02-05,0.20528969104440345,0.06630641632845394,0.36005478160679155,0.12522637378169946,0.36970627345748597,0.48584791922345594
2016-02-13,0.21002227042129257,0.058976155972095684,0.3250358226180195,0.12220655705852407,0.32584751086843977,0.46079596122041955
2016-02-21,0.205283119070888,0.051104803243390375,0.30634216880993437,0.113683888285296,0.315897524282285,0.46702168361632085
2016-02-29,0.1915741923314455,0.043577542147811316,0.3055315911296879,0.10106876484557346,0.3398043127106176,0.5032053099825267
2016-03-08,0.1711721069334221,0.0370672860539242,0.3198439285306078,0.0865452012917523,0.3899141731209043,0.5618551792524062
2016-03-16,0.14683295110791714,0.03196438935663536,0.3446584429791989,0.07209713632468864,0.45607872499850455,0.6337366171405298
2016-03-24,0.12180745367749851,0.028228562418791323,0.3730100748249182,0.05924894431159485,0.5253083888691018,0.7077703234599168
2016-04-01,0.09899451797148237,0.025645423908416537,0.39830276916980745,0.0489711974144854,0.5859089791893901,0.7740312673514503
2016-04-09,0.08062886983035777,0.023786522218997942,0.4149509958234092,0.04140027715999729,0.6288088035055733,0.8248111964845751
2016-04-17,0.06830016410842245,0.02230256302565046,0.4192945922701785,0.036449682115088644,0.648069655811909,0.8546595428496521
2016-04-25,0.06264187594532661,0.021011084808404974,0.41068967557661507,0.033805685741531956,0.6424979098671011,0.8614919771266916
2016-05-03,0.06380478085618668,0.019921413710707866,0.39032027798741786,0.03334376441135852,0.6134279121902457,0.8450460042908713
2016-05-11,0.07129816830265479,0.019330132254782986,0.3618853620066119,0.03528580603771342,0.5655855742780191,0.8075217810734723
2016-05-19,0.08437201395438806,0.019585167061066756,0.32962358226487,0.03996528140404197,0.5046126543887965,0.7522498077966961
2016-05-27,0.10195131458864273,0.021069241628143415,0.29824188788613154,0.047836269921278166,0.4371033377806099,0.6840296173457919
2016-06-04,0.12282622884944508,0.02400178447299361,0.2717064687166513,0.059067779239664026,0.36928015245055107,0.6082562562708915
2016-06-12,0.145618340592824,0.028326465392972316,0.2526788704117258,0.07333673370550782,0.30658922347896844,0.5310599062276113
2016-06-20,0.16897669215058547,0.03379391329515136,0.24265687129253527,0.08994025724917933,0.2533919521172921,0.4582752772746646
2016-06-28,0.19162755574463788,0.039883711260810056,0.24143226964869244,0.10763498307381841,0.21237548743690846,0.3951078067891884
2016-07-06,0.21258400102614347,0.04607621064021891,0.24806479866397008,0.12521483608783068,0.1848352722399511,0.3452339843908175
2016-07-14,0.2313233415983227,0.051899862074783996,0.26068933609491773,0.14162985627144736,0.17003822380179084,0.309895392350061
2016-07-22,0.24773533118918856,0.057071585617900725,0.2774207833368457,0.15628784674234686,0.16615679976910075,0.28839893672742695
2016-07-30,0.2623119369233548,0.06161059353267953,0.2964956739409139,0.1693241153382048,0.16990012924497339,0.2772722792361487
2016-08-07,0.2756769673912236,0.06565975500383818,0.31658122379809783,0.181146543345654,0.17809051954117497,0.27266755186816016
