date,mir,blue,nir,red,evi,ndvi
2015-08-29,0.2604275634122556,0.050060081608309395,0.28126382183351173,0.13182369745021683,0.22899003728988915,0.3680519927867411
2015-09-06,0.2810434198541945,0.05012558656890456,0.26780769902782814,0.13589170041093826,0.19447975104770093,0.3286470813471555
2015-09-14,0.29862543341631603,0.05001973888196762,0.2569463537055084,0.13913760510954246,0.16682914875164329,0.29674623256519544
2015-09-22,0.31028581335018574,0.049587114484218264,0.25103917943065246,0.14075632542738648,0.15235896767311669,0.2792826594649984
2015-09-30,0.3137209774328378,0.04873600364938768,0.25150403409039584,0.14001082381971253,0.15523415838478394,0.2809061765369023
2015-10-08,0.30730278360237423,0.04744895968319134,0.25904077392111724,0.13634577044762414,0.17778053734941823,0.3042653181980064
2015-10-16,0.29152064191566696,0.045941873682259736,0.27241878423318455,0.12986461772175784,0.21712317128910774,0.3462868971063959
2015-10-24,0.2679090022955916,0.04455994144444047,0.28966030423776107,0.12106995174071336,0.26815614989038905,0.4013943008223243
2015-11-01,0.2400649220103271,0.043932239781534585,0.30772945967510973,0.11140211110542081,0.3220504044381008,0.45971893827357674
2015-11-09,0.21219139382974095,0.04475424688932005,0.3235117992013837,0.10262359147716503,0.36931475650200496,0.5105798647835645
2015-11-17,0.18885254518515804,0.047703165485517576,0.33463667660719865,0.09684776425630623,0.401532747193266,0.5443386998906731
2015-11-25,0.1742149703238965,0.0533077337302309,0.33941166240119464,0.09603454007021989,0.41197893352876636,0.5532392464028868
2015-12-03,0.17049399609572613,0.06152110703114184,0.3381133888297191,0.10117911071524124,0.3996172166070366,0.5360114759917782
2015-12-11,0.1786525690642799,0.07194507933089608,0.33192133733982804,0.11257438316445739,0.3663980746587201,0.4948355627219174
2015-12-19,0.1965953820461945,0.08335158146442176,0.32365732444370876,0.12866884392901293,0.32052895036126905,0.439206321366278
2015-12-27,0.22101008291702215,0.09422742486629447,0.3165681063204915,0.1471627579826973,0.27222432592597473,0.38094389142804796
2016-01-04,0.24678042592467944,0.10275562740222922,0.31394115826204483,0.1646137052642056,0.23342521135432942,0.33379896639812684
2016-01-12,0.26861092872353887,0.10735051594687034,0.31832165993646,0.17755399143339504,0.21449221530361826,0.3094775907327749
2016-01-20,0.28162281377345244,0.10687162096860113,0.33117992194601603,0.18290812813385965,0.22288464714884454,0.31604607345574653
2016-01-28,0.28266646694939823,0.10095725158917122,0.35277828112454934,0.17893560415486406,0.2615987697456122,0.35617071234575043
2016-02-05,0.27099079467258974,0.09029473406843232,0.3817950761134452,0.16573857389257288,0.3276577633654201,0.4253118642600916
2016-02-13,0.24773686681815169,0.07620143297535682,0.4161065367567193,0.14479510170592877,0.41460508727315737,0.5150775307583125
2016-02-21,0.21643846540402617,0.06075987982008719,0.45263875872482884,0.11930895013355111,0.5117686087816707,0.6124860787593174
2016-02-29,0.18118865532387465,0.04596932095476696,0.4883609769780947,0.09270398792771281,0.6085792421626195,0.705429251466004
2016-03-08,0.1465905746180397,0.03362009890270033,0.5204130443998819,0.06851098522280798,0.6951068045473999,0.7835732996492498
2016-03-16,0.11627719229543335,0.024817052413168627,0.5465530202914952,0.04925820912460085,0.7643677247095945,0.8408214693247961
2016-03-24,0.09245343954680027,0.01972185368830144,0.5653924900973403,0.03604687599723355,0.8134611461517876,0.876844927859886
2016-04-01,0.07597779341733699,0.017892257846798692,0.5761390919334778,0.028842174625304695,0.8421759536436555,0.8944926325590805
2016-04-09,0.06597574356231503,0.018144830935381637,0.578745997939311,0.026174225928916175,0.85362131739118,0.9004174441415054
2016-04-17,0.06109071963117799,0.01931381445101922,0.573424805981414,0.026364612365294235,0.8511492779511751,0.9005483167084483
2016-04-25,0.05948567157594012,0.02034448279474634,0.5606717680242436,0.027607112807597284,0.8380784027673932,0.8993537442743169
2016-05-03,0.05983487291116413,0.020669124019616188,0.541085923277366,0.02876967298530645,0.8163178917614603,0.8982583234848963
2016-05-11,0.061584744020291016,0.020391832376260837,0.5153857337745991,0.02968203250828371,0.7858120418281354,0.8945815905473193
2016-05-19,0.06479502279895843,0.0199513660106216,0.48455654752473515,0.03077531293160924,0.7459287107514592,0.8842522448977497
2016-05-27,0.0702962509026121,0.02017810170539111,0.449950472620899,0.03321298925915213,0.6954664956498116,0.8617336048777176
2016-06-04,0.07886013808467196,0.02171725835799939,0.41331109629061746,0.03798621582322532,0.6345720861762769,0.8235244098209198
2016-06-12,0.09108567077778273,0.024907671173560696,0.37688927698110564,0.04575815236953901,0.5653575420644534,0.7691652443744512
2016-06-20,0.10701433861293741,0.029660694067143847,0.34300615540562357,0.05655621720999828,0.49159333023306595,0.7012668694039189
2016-06-28,0.1259252794263854,0.035323167371147976,0.3140152370485871,0.06955349392278272,0.41914170890423036,0.6263982648846804
2016-07-06,0.14680597965982006,0.04112110460545988,0.2916671389548497,0.08366389980838322,0.35348030781792394,0.5515374327402671
2016-07-14,0.16832440153926548,0.04617783679281651,0.27685053720255776,0.09753828780528895,0.29928342513606804,0.48376255190647255
2016-07-22,0.18947666752933917,0.0499462582514787,0.2694538662435771,0.11024549665892805,0.2586962452146369,0.4273067505324507
2016-07-30,0.20975709765003048,0.05235432763622559,0.2680546498752702,0.12147198894272819,0.23039477099832806,0.38238810521524813
2016-08-07,0.2291217585261297,0.05365961319110376,0.2707275855450678,0.13139122656377292,0.21115429489743398,0.3466382208257265
